college_code,cast,cutoff,year,tier
1211,MBC,185.5,2024,2
1211,MBCDNC,185.5,2022,2
1211,OC,191.5,2020,2
1211,OC,191.5,2021,2
1211,OC,191.5,2022,2
1211,OC,191.5,2023,2
1211,OC,191.5,2024,2
1211,SC,169.0,2020,2
1211,SC,169.0,2021,2
1211,SC,169.0,2022,2
1211,SC,169.0,2023,2
1211,SC,169.0,2024,2
1211,SCA,159.5,2020,2
1211,SCA,159.5,2021,2
1211,SCA,169.0,2022,2
1211,SCA,159.5,2023,2
1211,SCA,125.5,2024,2
1211,ST,161.0,2020,2
1211,ST,161.0,2021,2
1211,ST,169.0,2022,2
1211,ST,161.0,2023,2
1211,ST,169.0,2024,2
1216,BC,178.0,2020,2
1216,BC,178.0,2021,2
1216,BC,185.0,2022,2
1216,BC,178.0,2023,2
1216,BC,178.0,2024,2
1216,BCM,176.0,2020,2
1216,BCM,176.0,2021,2
1216,BCM,177.0,2022,2
1216,BCM,176.0,2023,2
1216,BCM,176.0,2024,2
1216,MBC,171.0,2020,2
1216,MBC,171.0,2021,2
1216,MBC,172.0,2022,2
1216,MBC,171.0,2023,2
1216,MBC,171.0,2024,2
1216,MBCDNC,171.0,2022,2
1216,OC,185.0,2020,2
1216,OC,185.0,2021,2
1216,OC,185.0,2022,2
1216,OC,185.0,2023,2
1216,OC,185.0,2024,2
1216,SC,143.0,2020,2
1216,SC,143.0,2021,2
1216,SC,143.0,2022,2
1216,SC,143.0,2023,2
1216,SC,142.0,2024,2
1216,SCA,151.5,2020,2
1216,SCA,151.5,2021,2
1216,SCA,151.5,2022,2
1216,SCA,151.5,2023,2
1216,ST,141.5,2020,2
1216,ST,141.5,2021,2
1216,ST,142.0,2022,2
1216,ST,141.5,2023,2
1216,ST,143.0,2024,2
1219,BC,188.0,2020,1
1219,BC,188.0,2021,1
1219,BC,190.5,2022,1
1219,BC,188.0,2023,1
1219,BC,188.0,2024,1
1219,BCM,188.0,2020,1
1219,BCM,188.0,2021,1
1219,BCM,188.0,2022,1
1219,BCM,188.0,2023,1
1219,BCM,188.0,2024,1
1219,MBC,186.0,2020,1
1219,MBC,186.0,2021,1
1219,MBC,188.0,2022,1
1219,MBC,186.0,2023,1
1219,MBC,186.0,2024,1
1219,MBCDNC,186.0,2022,1
1219,OC,190.5,2020,1
1219,OC,190.5,2021,1
1219,OC,190.5,2022,1
1219,OC,190.5,2023,1
1219,OC,190.5,2024,1
1219,SC,169.0,2020,1
1219,SC,169.0,2021,1
1219,SC,169.0,2022,1
1219,SC,169.0,2023,1
1219,SC,169.0,2024,1
1219,SCA,171.5,2020,1
1219,SCA,171.5,2021,1
1219,SCA,171.5,2022,1
1219,SCA,171.5,2023,1
1219,SCA,171.5,2024,1
1219,ST,153.0,2020,1
1219,ST,153.0,2021,1
1219,ST,171.5,2022,1
1219,ST,153.0,2023,1
1219,ST,169.0,2024,1
1226,BC,156.5,2022,2
1226,BC,144.0,2023,2
1226,MBC,162.5,2020,2
1226,MBC,162.5,2021,2
1226,MBC,162.5,2022,2
1226,MBC,162.5,2023,2
1226,MBC,162.5,2024,2
1226,MBCDNC,149.0,2022,2
1226,OC,175.0,2020,2
1226,OC,175.0,2021,2
1226,OC,175.0,2022,2
1226,OC,175.0,2023,2
1226,OC,175.0,2024,2
1226,SC,120.5,2020,2
1226,SC,120.5,2021,2
1226,SC,120.5,2022,2
1226,SC,120.5,2023,2
1226,SCA,90.0,2020,2
1226,SCA,90.0,2021,2
1226,SCA,90.0,2022,2
1226,SCA,90.0,2023,2
1226,ST,120.5,2024,2
1304,BC,178.0,2020,2
1304,BC,178.0,2021,2
1304,BC,183.5,2022,2
1304,BC,178.0,2023,2
1304,BC,178.0,2024,2
1304,BCM,177.0,2020,2
1304,BCM,177.0,2021,2
1304,BCM,178.0,2022,2
1304,BCM,177.0,2023,2
1304,BCM,177.0,2024,2
1304,MBC,175.5,2020,2
1304,MBC,175.5,2021,2
1304,MBC,177.0,2022,2
1304,MBC,175.5,2023,2
1304,MBC,175.5,2024,2
1304,MBCDNC,175.5,2022,2
1304,OC,183.5,2020,2
1304,OC,183.5,2021,2
1304,OC,183.5,2022,2
1304,OC,183.5,2023,2
1304,OC,183.5,2024,2
1304,SC,156.0,2020,2
1304,SC,156.0,2021,2
1304,SC,156.0,2022,2
1304,SC,156.0,2023,2
1304,SC,156.0,2024,2
